Text_Name	Text_Type	Year	Left	Drittletztes_Wort	Vorletztes_Wort	LetztesWort	Key	Right	Compound	Lemma	Base_Verb	Period	Century	Determiner	Prep_V_ung	Adj	Genitive	Prefix	Syntagma
text_name woyt_gazophylacium_1737	text_texttype Wissenschaft	1737	: ia , heiſt die Tractation oder	die	Tractation	oder	Abhandlung	 von/von den/d Vomitiven/Vomitiv ./. Emmenagoga/Emmenagoga ,/, werden/		Abhandlung	abhandeln	17(0|1|2|3|4).	17..	b				ab	
text_name glueck_pandecten01verbesserungen_1798	text_texttype Wissenschaft	1798	: . 215. lies : Freyh . von Ompteda	.	von	Ompteda	Abhandlung	 von/von dem/d Umfange/Umfang des/d geſammten/gesamt ſowohl/sowohl n		Abhandlung	abhandeln	17(5|6|7|8|9).	17..					ab	
text_name buechner_werke_1879	text_texttype Belletristik	1879	: ll aufgefahren . Für eine politiſche	Für	eine	politiſche	Abhandlung	 habe/haben ich/ich keine/keine Zeit/Zeit mehr/mehr ,/, es/es wäre/se		Abhandlung	abhandeln	18(5|6|7|8|9).	18..	u		politisch		ab	
text_name pahl_gutachten_1797	text_texttype Gebrauchsliteratur	1797	: in Jena erst kürzlich eine schöne	kürzlich	eine	schöne	Abhandlung	 in/in sein/sein philosophisches/philosophisch Journal/Journal einger�		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	u		schön		ab	
text_name curtius_sprachforschung_1885	text_texttype Wissenschaft	1885	: ar hat neuerdings Sayce in seiner	Sayce	in	seiner	Abhandlung	 „/" Person-endings/person-endings of/of the/the European/european v		Abhandlung	abhandeln	18(5|6|7|8|9).	18..	gen			pre	ab	
text_name curtius_sprachforschung_1885	text_texttype Wissenschaft	1885	: sen , Ztschr. XXVII , 172 , in seiner	0	in	seiner	Abhandlung	 über/über den/d indogermanischen/indogermanisch Imperativ/Imperativ		Abhandlung	abhandeln	18(5|6|7|8|9).	18..	gen			pre	ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	:  , das zeige ich in der ſiebenden	in	der	ſiebenden	Abhandlung	 ./. §./§. 16/16 ./. Weil/weil der/d Gang/Gang ,/, das/d Hangende/Ha		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b		Zahlwort		ab	
text_name knigge_umgang02_1788	text_texttype Gebrauchsliteratur	1788	: , und hier wuͤrde eine weitlaͤufige	wuͤrde	eine	weitlaͤufige	Abhandlung	 uͤber/über dieſen/diese Gegenſtand/Gegenstand auch/auch zu/zu vie		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	u		weitläufig		ab	
text_name jahn_rede_1849	text_texttype Gebrauchsliteratur	1849	: tens die Vorlesungen boten ; zahlreiche	boten	;	zahlreiche	Abhandlungen	 aber/aber rief/rufen die/d oft/oft sich/sich wiederholende/wiederhole		Abhandlung	abhandeln	18(0|1|2|3|4).	18..	other				ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	: ccidenz vor den Bergvogt . Die zwote	.	Die	zwote	Abhandlung	 von/von der/d Kentnis/Kenntnis der/d Mineralien/Mineral bei/bei dieſ		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b				ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	: itriol gemacht wird . Jn der zwoten	Jn	der	zwoten	Abhandlung	 werde/werden ich/ich Gelegenheit/Gelegenheit finden/finden ,/, dieſe		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b				ab	
text_name berlepsch_alpen_1861	text_texttype Gebrauchsliteratur	1861	: Körperbau und durch ungewöhnliche	und	durch	ungewöhnliche	Abhärtung	 vermögen/vermögen ſie/sie den/d tobendſten/tobend Schneeſtürmen		Abhärtung	abhärten	18(5|6|7|8|9).	18..		durch	ungewöhnlich		ab	
text_name puetter_staatsverfassung03_1787	text_texttype Wissenschaft	1787	:  S. 170-174 . I. II . Zu	II	.	Zu	Abhelfung	 der/d Religionsbeſchwerden/Religionsbeschwerde war/sein ſeit/seit 1		Abhelfung	abhelfen	17(5|6|7|8|9).	17..		zu		post	ab	
text_name oa_policeij_1628	text_texttype Wissenschaft	1628	: nicht allein in vnſerer Cantzley  bey	vnſerer	Cantzley	bey	abholung	 der/d Hochzeitordnung/Hochzeitordnung /// den/d ort/Ort vñ/und plat		Abholung	abholen	16(0|1|2|3|4).	16..		bei		post	ab	
text_name oa_policeij_1628	text_texttype Wissenschaft	1628	: d namen deß Hochzeiters vnd dem tag der	dem	tag	der	abholung	 /// durch/durch ein/eine Cantzley/Kanzlei hand/Hand vnderſchriben/un		Abholung	abholen	16(0|1|2|3|4).	16..	b				ab	
text_name aston_emancipation_1846	text_texttype Gebrauchsliteratur	1846	:  von Ideen , insofern sie eine	insofern	sie	eine	Abirrung	 vom/vom Wege/Weg des/d Heils/Heil verräth/verraten ,/, der/d Polizei		Abirrung	abirren	18(0|1|2|3|4).	18..	u				ab	
text_name lambert_organon02_1764	text_texttype Wissenschaft	1764	: erworfen . Man gebraucht ſie als	gebraucht	ſie	als	Abkuͤrzungen	 ſtatt/statt der/d Definitionen/Definition ,/, und/und in/in ſo/so f		Abkürzung	abkürzen	17(5|6|7|8|9).	17..					ab	
text_name schauberg_freimaurerei02_1861	text_texttype Gebrauchsliteratur	1861	: d der Meister mit beiden Knieen bei der	Knieen	bei	der	Ablegung	 des/d Schwures/Schwur am/am Altare/Altar niederknieen/niederknieen so		Ablegung	ablegen	18(5|6|7|8|9).	18..	b			post	ab	
text_name schauberg_freimaurerei02_1861	text_texttype Gebrauchsliteratur	1861	: Wein darzubringen , unmittelbar auf die	unmittelbar	auf	die	Ablegung	 des/d Eides/Eid ,/, so/so dass/dass entweder/entweder die/d Aufnahme/		Ablegung	ablegen	18(5|6|7|8|9).	18..	b			post	ab	
text_name rotth_bedencken_1692	text_texttype Gebrauchsliteratur	1692	: uf die Gedancken gerathen  daß solche	gerathen	daß	solche	Ableinung	 nur/nur der/d Neben-Zweck/Neben-Zweck sey/sein /// der/d Hauptzweck/H		Ableinung	ableinen	16(5|6|7|8|9).	16..	solch				ab	
text_name francois_reckenburgerin01_1871	text_texttype Belletristik	1871	: weniger ſchicklich auszuſprechenden	weniger	ſchicklich	auszuſprechenden	Ableitungen	 zum/zum erſtenmale/erstenmal in/in einem/eine Grafenſchloſſe/Graf		Ableitung	ableiten	18(5|6|7|8|9).	18..			auszusprechend		ab	
text_name lambert_organon02_1764	text_texttype Wissenschaft	1764	: eutung an , die das Wurzelwort durch die	Wurzelwort	durch	die	Ableitung	 erhaͤlt/erhalten ./. Sie/sie betreffen/betreffen demnach/demnach gew		Ableitung	ableiten	17(5|6|7|8|9).	17..	b				ab	
text_name tulla_rhein_1822	text_texttype Gebrauchsliteratur	1822	:  der sich einmündenden Flüsse und die	Flüsse	und	die	Ableitung	 des/d Wassers/Wasser aus/aus nassen/naß und/und sumpfigen/sumpfig Ge		Ableitung	ableiten	18(0|1|2|3|4).	18..	b			post	ab	
text_name carus_zoologie_1872	text_texttype Gebrauchsliteratur	1872	: il ſeiner allgemeinen theoretiſchen	ſeiner	allgemeinen	theoretiſchen	Ableitungen	 ,/, z./z. B./B. über/über die/d Bedeutung/Bedeutung einzelner/einze		Ableitung	ableiten	18(5|6|7|8|9).	18..	gen		theoretisch	pre	ab	
text_name haller_anfangsgruende03_1766	text_texttype Wissenschaft	1766	:  erſcheinet , wenn man ſie nach der	ſie	nach	der	Abloͤſung	 der/d Knochen/Knochen ,/, allein/allein ,/, und/und entbloͤßet/entb		Ablösung	ablösen	17(5|6|7|8|9).	17..	b			post	ab	
text_name puetter_staatsverfassung03_1787	text_texttype Wissenschaft	1787	:  Jahres entſtand Streit uͤber die	Streit	uͤber	die	Abloͤſung	 der/d erſten/erst Claſſe/Klasse ,/, wozu/wozu es/es doch/doch erſ		Ablösung	ablösen	17(5|6|7|8|9).	17..	b			post	ab	
text_name bodmer_sammlung04_1742	text_texttype Belletristik	1742	: erwalten . Die Wunde , welche durch	0	welche	durch	Abloͤſung	 der/d Ribbe/Rippe geſchlagen/schlagen worden/werden )/) Es/es giebt/		Ablösung	ablösen	17(0|1|2|3|4).	17..		durch		post	ab	
text_name carus_gynaekologie01_1820	text_texttype Wissenschaft	1820	: ung , welche nach Statt gehabter	nach	Statt	gehabter	Abloͤſung	 deſſelben/dieselbe noͤthig/nötig wird/werden ./. Oefters/öfters 		Ablösung	ablösen	18(0|1|2|3|4).	18..		statt		post	ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	: ſt zuſammen : Er hat alſo keine	hat	alſo	keine	Abloͤſungen	 ,/, und/und daher/daher ſagt/sagen man/man ,/, daß/daß er/er angew		Ablösung	ablösen	17(5|6|7|8|9).	17..	other				ab	
text_name obrecht_secreta_1617	text_texttype Gebrauchsliteratur	1617	: ſen vnd kundbahren Nutz  als mit	Nutz	als	mit	Abloͤſung	 der/d ſchweren/schwer Zinßbahren/zinßbahren Schulden/Schuld /// mi		Ablösung	ablösen	16(0|1|2|3|4).	16..		mit		post	ab	
text_name vertrag_westfaelischer_1648	text_texttype Gebrauchsliteratur	1649	: lt der zu jederzeit vorbehaltenen	zu	jederzeit	vorbehaltenen	Ablösung	 /// verpfändet/verpfänden seynd/sein ./. Hierumb/hierum ist/sein ve		Ablösung	ablösen	16(0|1|2|3|4).	16..	b		vorbehalten		ab	
text_name bauller_lasterspiegel_1681	text_texttype Gebrauchsliteratur	1681	: che  Weltlichen  und Hauß- Stand 	und	Hauß-	Stand	Abmahnung	 ./. Mittel/Mittel /// ſich/sich vor/vor dem/d Neid/Neid zu/zu huͤte		Abmahnung	abmahnen	16(5|6|7|8|9).	16..					ab	
text_name fontane_kinderjahre_1894	text_texttype Belletristik	1894	: den Rektor Beda . Dieser nahm die	Dieser	nahm	die	Abmeldung	 nicht/nicht übel/übel ,/, erklärte/erklären vielmehr/vielmehr mei		Abmeldung	abmelden	18(5|6|7|8|9).	18..	b				ab	
